datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-04-20,12094.116270608043,10696.548022591947,14537.064188752964,0.0,0.0,0.0,61609.4209493533,54.648,98937.14943130626,0.0027776750650159165,0.9893714943130624,0.028210251331458047
2017-04-21,12053.830769310647,10682.246737885742,14546.920318272938,0.0,0.0,0.0,61609.4209493533,54.648,98892.41877482262,-0.00045211183807847277,0.9889241877482261,0.028657557896294317
2017-04-24,11907.328510140445,10667.943209503712,14312.234852778241,0.0,0.0,0.0,61609.4209493533,54.648,98496.9275217757,-0.003999206996316507,0.9849692752177568,0.03261247042676363
2017-04-25,12394.457319490291,10517.791908829948,0.0,0.0,0.0,0.0,75919.09480213154,57.209,98831.34403045179,0.0033951973639194666,0.9883134403045177,0.029268305340002687
2017-04-26,12244.286074607346,10560.693982026065,0.0,0.0,0.0,0.0,75919.09480213154,57.209,98724.07485876494,-0.0010853760286189118,0.9872407485876493,0.0303409970568711
2017-04-27,12299.226186224108,10564.274057285973,0.0,0.0,0.0,0.0,75919.09480213154,57.209,98782.59504564163,0.000592765107805926,0.9878259504564163,0.029755795188104117
2017-04-28,12086.793951535647,10610.746298863975,0.0,0.0,0.0,12540.46806282231,63420.57732131721,61.512,98658.58563453914,-0.0012553771344556708,0.9865858563453914,0.030995889299128998
2017-05-02,12075.8070558337,10732.303008463758,0.0,0.0,0.0,12523.952266383572,63420.57732131721,61.512,98752.63965199824,0.0009533282567775192,0.9875263965199825,0.03005534912453789
2017-05-03,11958.599272549778,0.0,0.0,0.0,0.0,12553.684129063968,74148.23932978096,66.153,98660.52273139471,-0.0009328046412545588,0.9866052273139473,0.030976518330573133
2017-05-04,11962.258603927177,12179.69510697302,0.0,0.0,0.0,12494.217327344591,61922.386929505825,71.45700000000001,98558.55796775062,-0.0010334910136416964,0.9855855796775064,0.031996165967014045
2017-05-05,0.0,12061.21103297239,0.0,0.0,0.0,12309.2154513786,73879.88753343301,76.215,98250.31401778401,-0.0031275209004931748,0.9825031401778402,0.03507860546668018
2017-05-08,0.0,12004.004709043,0.0,0.0,0.0,12484.30173195901,73879.88753343301,76.215,98368.19397443502,0.0011997921617805662,0.9836819397443504,0.033899805900170055
2017-05-09,0.0,12048.947702673657,0.0,0.0,0.0,12550.36865672454,73879.88753343301,76.215,98479.20389283121,0.001128514349109988,0.9847920389283122,0.03278970671620818
2017-05-10,0.0,0.0,0.0,0.0,0.0,13161.533959201053,85923.53123610666,81.519,99085.06519530772,0.006152175063639076,0.9908506519530773,0.02673109369144311
2017-05-11,0.0,0.0,0.0,0.0,0.0,13138.409144034737,85923.53123610666,81.519,99061.9403801414,-0.00023338345815016037,0.9906194038014141,0.026962341843106308
